Q1358798	world-object:high-court-of-australia	review:mabo:court:hca
Q15527343	world-object:mary-gaudron	review:mabo:judge:gaudron
Q267745	world-object:william-deane	review:mabo:judge:deane
Q3778295	world-object:gerard-brennan	review:mabo:judge:brennan
Q408	world-object:australia	review:mabo:jurisdiction:au
Q4773043	world-object:anthony-mason	review:mabo:judge:mason
Q5226153	world-object:daryl-dawson	review:mabo:judge:dawson
Q6261017	world-object:john-toohey	review:mabo:judge:toohey
Q6832720	world-object:michael-mchugh	review:mabo:judge:mchugh
Q6851910	world-object:milirrpum-v-nabalco	review:mabo:overrules:milirrpum
Q975866	world-object:eddie-mabo	review:mabo:participant:eddie-mabo
